Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2580,Olive Oil,2013,2013,1000 tonnes,73,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2580,Olive Oil,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2580,Olive Oil,2013,2013,1000 tonnes,72,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2601,Tomatoes and products,2013,2013,1000 tonnes,3987,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2601,Tomatoes and products,2013,2013,1000 tonnes,107,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2601,Tomatoes and products,2013,2013,1000 tonnes,7,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2601,Tomatoes and products,2013,2013,1000 tonnes,4088,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2602,Onions,2013,2013,1000 tonnes,1428,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2602,Onions,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2602,Onions,2013,2013,1000 tonnes,0,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2602,Onions,2013,2013,1000 tonnes,1428,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2605,"Vegetables, Other",2013,2013,1000 tonnes,5682,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2605,"Vegetables, Other",2013,2013,1000 tonnes,644,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2605,"Vegetables, Other",2013,2013,1000 tonnes,251,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2605,"Vegetables, Other",2013,2013,1000 tonnes,6074,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2612,"Lemons, Limes and products",2013,2013,1000 tonnes,1210,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2612,"Lemons, Limes and products",2013,2013,1000 tonnes,24,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2612,"Lemons, Limes and products",2013,2013,1000 tonnes,150,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2612,"Lemons, Limes and products",2013,2013,1000 tonnes,1084,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2620,Grapes and products (excl wine),2013,2013,1000 tonnes,1418,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2620,Grapes and products (excl wine),2013,2013,1000 tonnes,134,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2620,Grapes and products (excl wine),2013,2013,1000 tonnes,49,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2620,Grapes and products (excl wine),2013,2013,1000 tonnes,1502,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2625,"Fruits, Other",2013,2013,1000 tonnes,5941,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2625,"Fruits, Other",2013,2013,1000 tonnes,416,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5911,Export Quantity,2625,"Fruits, Other",2013,2013,1000 tonnes,330,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5301,Domestic supply quantity,2625,"Fruits, Other",2013,2013,1000 tonnes,6027,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5511,Production,2640,Pepper,2013,2013,1000 tonnes,42,S,Standardized data
FBS,Food Balance Sheets,21,Brazil,5611,Import Quantity,2640,Pepper,2013,2013,1000 tonnes,0,S,Standardized data
